Unique-Menu,Unique-Menu-Translation,Match
Uramaki Spicy,uramaki spicy,78
Fusión Chino Japonés,Chinese Japanese fusion,59
"Rolls Envueltos en Palta, Masago, Ciboulette o Queso",Rolls Wrapped in Palta Masago Ciboulette or Cheese,95
Sándwiches fríos,cold sandwiches,57
Menu,menu,66
Special Rolls 2 Sabor,special rolls two flavor,56
¡Nuestra Carta Premium!,Our premium letter!,63
Empanadas fritas y de horno,fried pies and baked,67
Special Lemon rolls,special lemon rolls,47
Especialidades en Pollo,Chicken specialties,91
Gohans,Gohans,100
Varios,several,100
Avocado rolls - 30% off,avocado rolls - 30% off,43
Rolls Envueltos en Crispy (Tempura Frío),Wrapped in Crispy Rolls (Tempura Cool),74
Promoción del día,Deal of the Day,100
Roll envuelto en Masago,roll wrapped in masago,100
Furay Rolls,Furay Rolls,95
Special Sushi Fresh,Special Sushi Fresh,66
Rolls tempura,Rolls tempura,96
As Grande,large as,60
Jugos Naturales y Bebidas,natural juices and drinks,100
Rolls apanados,rolls breaded,81
Classic rolls california,Classic rolls california,86
Avocado y Sake Rolls,Avocado and Sake Rolls,76
Sándwich Light,light sandwich,70
Pan Artesanal,artisan bread,88
Colombia,Colombia,100
Chacarero,chacarero,100
Combinaciones principiante,Beginner combinations,89
¡Arma tu pizza!,Build your pizza!,62
Philadelphia Rolls,Philadelphia Rolls,80
Sushi Noche,Sushi Night,100
Zona Light Ensaladas,Area Light Salads,85
Fondos imperdibles,Captive Funds,57
Sé un Tutto chef,Everything itself a chef,66
Promoción Menú Premium,Premium Menu Promotion,95
Del Mar,Del Mar,100
Cocina Caliente,hot kitchen,100
Gastronomía peruana adicionales,Peruvian cuisine additional,74
Antipasto/para picar,appetizer / para picar,95
Envueltos en panko,wrapped in panko,97
Pizzas Clásicas,classic pizzas,100
Cena Sólo para Dos,dinner just for two,100
Rolls mixtos,mixed rolls,96
pizza,pizza,101
Envueltos en Salmón o Arcoiris de Pescado,wrapped in salmon or rainbow fish,71
Combos,combos,100
Porciones,portions,100
Sakes Rolls,sakes rolls,95
Vienesas y hot dogs en pan de mesa,Viennese bread and hot dogs on board,36
Fondos con vacuno,Funds with beef,78
Especial palta,Special avocado,51
Bebidas Calientes,hot drinks,100
Pescados y Mariscos,Fish and Seafood,100
Entradas o Appetizer,inputs or appetizer,51
Akitu Sándwich Gourmet,gourmet sandwich akitu,100
Tempura,tempura,100
Extra Premium,Extra premium,28
Hamburguesa,burger,100
Le Bibite,The Drinks,52
Hot Dogs,Hot Dogs,100
Chapsui,chapsui,100
Comida Thai,thai food,71
Pastas,folders,100
Menú Burreros,burreros menu,100
Ensaladas Simples,Simple salads,94
Camarones Témpura,tempura shrimp,91
Temaki – Hand Roll,temaki - hand roll,63
Palitos de Ajo,garlic sticks,100
Avocado rolls,avocado rolls,32
Sopas,soups,100
Rolls Envueltos en Palta,Rolls Wrapped in Palta,91
Boquitas para dos,Boquitas to the,93
Ceviches fuzion,ceviches fuzion,100
Carne de vacuno,beef,66
California Rolls (8 Trozos),California Rolls (8 Pieces),58
Sanguches de la casa,Sandwiches house,68
Rolls especialidades,specialty rolls,90
Pastelería y Postres,cakes and desserts,87
Ases,aces,100
Sándwich vegetariano,vegetarian sandwich,100
Sándwiches premium,premium sandwiches,59
Bebida mini,Drink mini,95
Katan Especial Rolls,katan special rolls,65
Roll de la Casa,roll of the house,96
Menú hora de almuerzo,lunch menu,87
Snow Rolls,snow rolls,40
Entradas y Ensaladas,Entries and salads,95
Pato,duck,100
The eats salado,the salty eats,51
Picoteo caliente,Hot snacks,61
Gohan frío,gohan cold,100
I. Hand rolls,i. hand rolls,45
"As, Hot Dog y Kabbab",As Hot Dog and Kabbab,85
Razz mixto,mixed razz,90
Entradas y piqueos fríos,tickets and cold snacks,83
Nigiri-Sashimi,nigiri-sashimi,100
Arroz,rice,100
Pizzas 2 x1,Pizzas 2 x1,100
Promoción Sushi Box,Sushi Box Promotion,46
Piqueos Calientes,hot appetizers,75
Bokatas,bokatas,100
Rollos envueltos en Palta,avocado wrapped rolls,57
Platos y Ensaladas,dishes and salads,100
Roll Envuelto en Salmón,roll wrapped in salmon,100
Tempura y Furay,Tempura and Furay,100
Sábados,Saturdays,100
Medias Pizzas 40 cm,average pizzas 40 cm,55
Del mar,sea,60
Rainbow,rainbow,25
Sake rolls,sake rolls,33
Pizzas a Elección,Pizzas to Election,92
Para beber,to drink,100
Wok,wok,100
Razz salmón,razz salmon,58
Sugeridos,Suggested,94
Jugos Naturales,natural juices,100
Furay,Furay,100
Ingredientes extra,Toppings,80
Pizzas a la piedra,pizza stone,61
Ceviches Peruanos,Peruvian ceviches,94
Gastronomía peruana chicharrones,Peruvian cuisine chicharrones,36
Promo,promo,66
Entradas de Italia,italia entries,90
Platos Vegetarianos,vegetarian dishes,100
Rolls Estilo California,california rolls style,42
"Mi Sushi Celebración ""E""","my sushi celebration ""e""",100
Fontana para 5 o 6 Personas,fontana for 5 or 6 people,100
Sandwiches Gourmet,gourmet sandwiches,91
Platos típicos,Typical dishes,100
Rolls Especial Salmón,Special Rolls Salmon,89
Masago,masago,100
Las Vienesas,The Viennese,75
Burgers,burgers,63
Paella,paella,100
Tetería,Tetería,100
Tempura y furai,tempura and furai,100
Envueltos en Palta,Wrapped in Palta,97
Pizza Renato's,renato's pizza,75
Envueltos en Camarón,shrimp wrapped,42
Sashimi y nigiri,sashimi and nigiri,100
Rolls calientes (8 piezas),Hot Rolls (8 pieces),94
Promoción Gohan,Gohan Promotion,100
Chaibu,chaibu,100
Platos a pedidos,Dishes to order,60
Bentobox,bentobox,100
Menú Sushi Sabor,Sushi Menu Taste,76
Bushido Hot Rolls Tempurizados,Bushido Hot Rolls Tempurizados,80
Top roll (8 piezas),top roll (8 pieces),65
Especial Rolls ***,Special rolls ***,63
Platos calientes y fríos,hot and cold dishes,64
Bebidas gaseosas,Drinks,60
Ensaladas fuzion,salads fuzion,100
Hosomakis,Hosomakis,100
Califronia rolls,California rolls,50
Special Mixtos,mixed special,85
Hosomaki y Futomaki,hosomaki and futomaki,100
Pizzas en Promoción,Promotional pizzas,70
Rolls premium,premium rolls,96
Light Rolls,light rolls,41
Carne de ave,poultry,53
Tropical Rolls,tropical rolls,58
Platos Take,dishes take,78
Locuras del chef,follies chef,56
Prietaburger,prietaburger,100
Furay Mozzarella,Furay Mozzarella,100
Sushi Party,Sushi Party,100
Hot Rolls Panko,Hot Rolls Panko,62
Green rolls,green rolls,41
Las Aves,The Birds,40
Classic rolls envueltos en palta,Classic rolls wrapped in avocado,63
Paellas,paellas,100
Sandwich Clubs,Sandwich Clubs,55
Creams Rolls,Creams Rolls,88
Rolls envueltos en palta,rolls wrapped in avocado,80
Para picar,To chop,76
Almuerzos Vegetarianos,vegetarian lunches,100
Tory Furay Rolls,Tory Furay Rolls,96
Especialidad de la Casa,specialty of the house,100
Platos Españoles,Spanish dishes,94
Sashimis,sashimis,100
Rolls Envueltos en Queso,Wrapped in Cheese Rolls,62
Makicheese Rolls,makicheese rolls,60
Selección del Sensei,Selecting the Sensei,100
Aromas del Perú,Aromas of Peru,100
Nuevos Platos,new dishes,100
Bushido Panko Rolls,Bushido Panko Rolls,97
Temaki / Hand Roll,temaki / hand roll,66
Pollos a la Brasa,grilled chicken,72
Pizzas caseras a la piedra,homemade pizzas,70
Hosomaki,hosomaki,100
Pisco,pisco,100
Makimono Nori,makimono nori,100
Helados,ice cream,92
Hot rolls panco,hot rolls panco,54
Otras opciones,other options,100
Futomaki Rolls,futomaki rolls,55
Camarones Furay,Shrimp Furay,82
Pulpos,Octopuses,75
Platos Fríos,cold dishes,100
Promo 2x1 Todos los días,Promo 2x1 Everyday,60
Mariscos y pescados,Seafood and Fish,94
Bocaditos para Comenzar,appetizers to start,80
Nigiri Gunkan,nigiri gunkan,100
Platos Calientes,hot dishes,100
As y vienesas,ace and Viennese,96
Toro Toro Sándwich Gourmet,toro toro gourmet sandwich,92
De fondo,background,76
"Aguas, jugos y bebidas",Water juices and beverages,86
Kaizu te Sugiere,Kaizu suggests you,84
9 cortes (Envueltos en queso crema),9 cuts (Wrapped in cream cheese),95
Envueltos en masa tempura,Tempura wrapped in dough,61
Paninis,paninis,100
Empanadas de Cóctel Masa Integral,Mass cocktail patties Integral,91
Vegetarianos Rolls,vegetarian rolls,66
Sakes,sakes,100
Fajitas,fajitas,100
Arma Tu Roll,build your roll,53
Roll´s del Chef,Chef roll's,73
Panko rolls,panko rolls,43
Promocion Maki Sushi,promotion maki sushi,92
MexPromos,mexpromos,100
Pulpo Rolls,Octopus Rolls,95
Bebidas y acompañamientos,drinks and accompaniments,100
Platos rápidos,fast food,55
Gredas,Gredas,100
Hosomakis rolls tradicional,Hosomakis traditional rolls,94
Special's Rolls,special's rolls,45
Nigiris Frescos,Fresh nigiris,71
Pizzas Tradicionales,traditional pizzas,100
Cerveza,beer,100
Avocream,avocream,100
Sake Salmón,Sake Salmon,100
Comida china,Chinese Food,100
Menú de niños,Kids menu,93
Platos de Fondo,main dishes,48
Hot Roll,Hot Roll,100
Pizza Now,Pizza Now,70
Bronto Hamburguesas Caseras,bronto homemade burgers,100
Premium,premium,50
Special Rolls Envueltos en Palta,Special Rolls Wrapped in Palta,76
Pizzas Especiales,Specialty pizzas,94
Menú Niños,Children menu,70
Agregados extra de Fajitas,Extra aggregates Fajitas,93
Special Cheese Roll,special cheese roll,33
Arma a tu gusto,Gun to your liking,100
Envuelto en queso crema,Wrapped in cream cheese,93
Sushi Moriawase,Sushi Moriawase,100
Rolls Acevichados,rolls acevichados,97
Futomaki & Futomaki Furay Rolls,Furay Futomaki Futomaki & Rolls,67
Lasagnas,lasagnas,75
Envueltos en Queso Crema con Merquen o Ciboulette,wrapped in cream cheese with chives or merquen,70
Combinaciones*,combinations *,96
Pitas,pitas,100
Rolls Especial Take,take special rolls,71
Aperitivos calientes,hot appetizers,100
Toppings,Toppings,30
Frutales,fruit,76
Roll Calientes,hot roll,86
Combos Club,Combos Club,90
Chicken hot rolls,hot chicken rolls,23
Temaki Sushi,temaki sushi,100
Especialidades en Cordero,lamb specialties,96
Shawarma especial,Shawarma special,100
Especialidad en pollo,Specializing in chicken,86
Combinaciones 15% OFF,combinations 15% off,70
Yakisoba,yakisoba,100
Entradas o Appetizers,inputs or appetizers,80
Ramen Sopa,Ramen Soup,90
Tablas Pequeñas,small tables,77
Entradas Árabes,Arab Tickets,93
Papas Fritas Familiares,Fried potatoes Family,80
Olímpicos,Olympic,94
Tablas Medianas,Tables Medium,81
Appetizers calientes,Hot Appetizers,80
"Rolls envueltos en palta, queso crema o salmón",rolls wrapped in avocado cream cheese or salmon,80
Cervezas Nacionales,domestic beers,100
Tablas Mochi Mochi,mochi mochi tables,100
Bronto Churrascos,bronto churrascos,58
Lunes,Monday,100
Maki Roll,Maki Roll,61
Sugerencias principiantes,Beginners suggestions,87
Choice,choice,26
Nigiri - 30% off,nigiri - 30% off,68
Ensaladas Hidropónicas,hydroponic salad,95
Vegetarianos,Vegetarians,85
California Club Rolls,California Club Rolls,65
Rolls en Queso Crema,cream cheese rolls,88
Pizzas Premium,premium pizzas,100
10 cortes,10 cuts,101
Sushi Nikkei,Sushi Nikkei,100
Almuerzo,lunch,100
Sugerencias clásicas,Classic suggestions,87
Gnocchis,gnocchis,100
Rolls Envueltos en Palta o Salmón,Rolls Wrapped in avocado or salmon,74
Combinaciones de Sushi,combinations sushi,100
Vegetarianos Roll,roll vegetarian,66
Sándwiches,sandwiches,100
Angus Premium Cuts,angus premium cuts,63
Furai Rolls,Furai Rolls,95
Empanadas al Horno,baked pies,100
Delicias Tempurizadas,tempurizadas delights,57
Sake Roll,roll sake,63
Rolls envueltos en salmón (8 piezas),rolls wrapped in salmon (8 pieces),98
Agregados Para Sándwich,sandwich aggregates,88
Especialidades del Mundo,Specialties World,82
Pan de Ajo,garlic bread,100
Special Roll,special roll,53
Rincón Tradicional,Traditional corner,73
Papas,potato,54
Bebidas y licores,beverages and liquors,100
Urbano Premium,Urban Premium,88
Porciones Individuales,Individual servings,95
Nigiris,nigiris,100
Gastronomía peruana platos de fondo,Peruvian cuisine entrees,41
Ensaladas para que no tengas que pensar,salads to not have to think,78
Sandwiches Vegetarianos,vegetarian sandwiches,89
Especialidades Gourmand,gourmand specialties,100
Cortes finos de pescado,Fish steaks,68
Cenas Sólo pare Dos,dinner only stop two,71
¡Sólo por Hoy!,Just for today!,86
Salsas de Mister Sushi,Sauces Mister Sushi,100
Shumai,shumai,100
"Bebidas, Cervezas y Aperitivos",drink beers and snacks,89
Almuerzo viernes,Lunch Friday,93
Risotto,risotto,100
Carne de Ave,poultry,53
Chancheros,chancheros,100
Uramaki Oishi,Uramaki Oishi,100
Gyosas,gyosas,100
Sopas y Brochetas,soups and skewers,68
Frica porteña,porteña Africa,53
Hot Rolls Tempura,Hot Rolls Tempura,66
Sándwich al Estilo 1213,Sandwich the Style 1213,83
Tori Rolls,Tori Rolls,95
Diente de Dragón,dragon tooth,100
Ebi Tempura,Ebi Tempura,100
Hosomakis (8 cortes),Hosomakis (8 slices),79
Rolls vegetarianos,vegetarian rolls,94
Clásicos de Jarana,Classic Jarana,88
Sushi,sushi,100
Exquisitos Ceviches al Estilo Peruano Japonés,exquisite Japanese-Peruvian-style ceviche,75
Cocina Japonesa,Japanese cuisine,93
Papel de arroz,rice paper,100
Platos principales,Main Dishes,94
Chorillanas & Papas,Chorillanas & Papas,100
Las Frescas,fresh,58
Rolls Makimono Cubierto en Palta,Makimono Rolls Covered in Palta,80
Insalate,salads,100
Panqueques,pancakes,100
Insalata,salad,100
Gunkan,gunkan,100
Promociones a Domicilio,Promotions at Home,56
"Pizza, Pizza y Más Pizza",Pizza Pizza Pizza and More,70
Rolls tempura y panko,Rolls tempura and panko,100
Promociones para compartir,promotions to share,100
Rolls en palta,Rolls in avocado,70
Hosomaki (8 Trozos),hosomaki (8 pieces),78
Envuelto en palta,Wrapped in avocado,75
Dolci,confectionery,25
Ceville rolls,Ceville rolls,29
Rolls envueltos en Salmón,Rolls wrapped in salmon,94
Sándwich del Barrio,Sandwich Neighborhood,80
Ensaladas clásicas,classic salads,100
Pizza a la Piedra,Pizza a la Piedra,100
Wraps Sugerencias del Chef,wraps chef's suggestions,76
Suprema de Pollo,chicken supreme,100
Chirachi,chirachi,100
Para dos personas,For two people,100
Platos frios,cold dishes,88
Churrascos y lomitos,barbecues y lomitos,90
Promos- Promociones,promos- promotions,57
Especialidades del mar,seafood specialties,89
Tempura rolls,Tempura rolls,51
Segundos,Seconds,100
Nuestras Creaciones,our creations,100
Daburumaki,daburumaki,100
De la Casa,In the House,80
Hosomaki Grande,great hosomaki,53
Sándwiches/panini italiano,sandwich / panini Italian,92
Pollitos a la BBQ,chicks to the bbq,70
Postres Familiar,familiar desserts,94
Snacks,Snacks,100
Cold drinks,cold drinks,32
"Los Amig@s, Comparten",The Friends s share,63
Medialunas,medialunas,100
Postres,desserts,100
Pastelería,pastry shop,100
Armala a tu gusto,armala to your liking,100
Slim Rolls,slim rolls,40
Tempuras y Apanados Rolls,Breaded tempura and Rolls,65
Perros Calientes,hot dogs,100
As Chico,As Chico,66
Comida Árabe,Arabic Food,92
Promociones de invierno,Winter promotions,95
Cheesecake,cheesecake,25
CHOICES bebidas,CHOICES drinks,72
Rolls de la Casa,rolls of the house,96
California Especiales,Special California,87
Cóctel por mayor,Wholesale cocktail,70
White Rolls,white rolls,40
Niguri,niguri,100
Empanaditas orientales,Oriental dumplings,22
Cafetería Funcional,functional cafeteria,100
Roll del chef,Roll Chef,69
Menú Sushi Rooster,Sushi Menu Rooster,72
Hako Sushi Rolls,Hako Sushi Rolls,96
Entradas Frías y Calientes,Cold and Hot Tickets,92
Promociones de Kimura,kimura promotions,92
Focaccine,scones,100
Otras alternativas,alternatives,80
Hoso tempura,hoso tempura,58
Specialita della casa,specialties of the house,93
Menú de almuerzo,lunch menu,100
Envueltos en Queso Crema,cream cheese wrapped in,46
California Especial,california special,100
Uramaki (10 unidades),uramaki (10 items),68
Envueltos en palta,Wrapped in avocado,73
Platos japoneses,Japanese dishes,100
Verduras,vegetables,100
Champagne,champagne,70
Sake roll,roll sake,63
Combinaciones Mashido Sushi,Combinations Mashido Sushi,100
Envueltos en Jengibre,Wrapped in Ginger,92
Vienesa Grande,Viennese largest,78
Cremas y Sopas,creams and soups,100
Piqueos,piqueos,100
Pescados fritos al plato,Fish fried pigeon,77
Chivito de pollo,chivito chicken,89
Churrasco,barbecue,100
Menú de la Semana,Menu of the Week,100
Roll envuelto en Sésamo,Roll wrapped in Sesame,80
Sándwich de Ave,Sandwich Ave,78
Especialidades de la Casa,House Specialties,100
Espumantes,sparkling,94
Fajitas Tex Mex,tex mex fajitas,46
Hay jugos naturales y otras bebidas,there are natural juices and other beverages,94
Tempurizados Especiales,Special tempurizados,95
Bushido Rolls Salmón,Bushido Salmon Rolls,56
Bebidas,beverages,100
Omelettes & Skillets,omelettes & skillets,35
Promo Lunes,Promo Monday,100
Bushido Salmón,Bushido Salmon,100
Ceviches y Sashimi,Ceviches and Sashimi,100
Menú Familiar,family menu,100
Comida Internacional,International food,85
Para el Aperitivo,for aperitif,100
Pizzas Gourmet,gourmet pizzas,100
Tostadas,Toasts,100
Nikkey Rolls,Nikkei Rolls,91
Al plato,The dish,87
Tragos Importados,imported drinks,68
Futo Maki (6 unidades),Futo Maki (6 units),100
Classic rolls tempurizados y apanados,Classic rolls and breaded tempurizados,69
Salsa & Hot Sauces,Salsa & Hot Sauces,100
Envuelto en Tempura,wrapped in tempura,100
Special Hot,special hot,64
Agregados Extra,Extra aggregates,61
Bruschettas y pan,Bruschettas and bread,100
California Rolls con Queso Crema,California Rolls with Cream Cheese,93
Too Much Rolls,Too Much Rolls,55
Camarón furay,Furay shrimp,41
Dulce Acompañamiento,Sweet Accompaniment,100
Fontanas,fountains,53
Ingredientes Extras,Ingredients Extras,100
Sushi (Piqueos),sushi (snacks),72
Postres (envuelto en trufa de chocolate),Desserts (wrapped in chocolate truffle),100
Menú Treasure Sushi,treasure sushi menu,63
Promo - Pizzas 2 x1,promo - pizzas 2 x1,100
Sándwich en Lomo de Cerdo,pork tenderloin sandwich,53
Hanamaki,Hanamaki,100
Hotto Rolls,Hotto Rolls,95
Cigarros,cigarettes,100
Telefritos,telefritos,100
Escalopas,scallops,37
Promoción SÓLO Viernes 8 y Sábado 9,Promotion ONLY Friday 8 and Saturday 9,97
Toro Toro Vienesas,Toro Toro Viennese,91
Cuarto caliente,Warm room,62
Promoción 40% off,Promotion 40% off,71
Destilados,Distillates,100
Hot rolls - 20% off,hot rolls - 20% off,44
Menús,menus,100
Completo italiano,Complete Italian,94
Almuerzo lunes,Lunch Monday,92
Jugos,juices,100
Temakis,temakis,100
Sashimi y Niguri,sashimi and niguri,100
Complementos,supplements,78
Rollos Premium,premium rolls,100
Combinaciones,combinations,100
H. Futomaki rolls,h. futomaki rolls,62
Pastas Secas,dried pastes,100
Rolls Fritos y/o Calientes,Rolls Fried and / or Calientes,85
Landwich,landwich,100
Hamburguesa casera,homemade burger,100
Carpacho,carpacho,100
Roll envuelto en Salmón,roll wrapped in salmon,100
Yamato Rolls,Yamato Rolls,96
"Donuts, Muchkins y Muffins",Muchkins Donuts and Muffins,72
Rolls envueltos de Salmón,Wrapped Salmon Rolls,66
Pizzas Clasicas,classic pizzas,90
Ensaladas porteñas,salads porteñas,100
Combinaciones experto,expert combinations,91
Palta,avocado,30
Avocado Roll's,Avocado Roll's,92
Pizzas 2x1,Pizzas 2x1,100
Entre Amigos y Familia,Among Friends and Family,95
Salsas Picantes,Hot Sauces,100
Ensaladas preelaboradas,salads prewritten,69
Lomito,lomito,100
Hot rolls tempura,hot tempura rolls,59
Postres individuales,individual desserts,100
Nigiri Sushi,nigiri sushi,100
Platos Thai,thai dishes,68
Sandwich a tu Gusto,Sandwich your Gusto,94
Hosomaki (6 Unidades),hosomaki (6 units),100
Temaki-Hosomaki,temaki-hosomaki,100
Menú Take,Take Menu,50
Tablas para 2 Personas,tables for 2 people,83
Rolls de la casa - 20% off,rolls of the house - 20% off,77
"California Envueltos en Sésamo, masago o ciboulette",california masago wrapped in sesame or chives,74
Snack,snack,14
Ensaladas,Salads,100
Masas Rellenas,Stuffed masses,92
Platos de fondos,funds dishes,100
"Churrascos, lomito, hamburguesas",barbecue hamburgers lomito,56
Bebidas y jugos,drinks and juices,86
Hot Rolls apanados en Panko,Hot Rolls breaded in Panko,71
Familiares,family,82
Chorrillanas,chorrillanas,100
G. Hosomaki rolls,G. Hosomaki rolls,62
Ceviches y Fríos,ceviches and cold,96
Tempuras y apanados,tempura and breaded,89
Rolls Calientes y Otras Delicias,hot rolls and other delights,95
Entradas de Mariscos,Tickets Seafood,91
Ensaladas individuales,individual salads,100
Menú Almuerzo,Lunch Menu,33
Platos de arroz tipo Gohan,gohan rice type dishes,80
Salmón Rolls,salmon rolls,43
Especialidades de carne,meat specialties,100
Toriniku,toriniku,100
De Mañana,tomorrow,82
Chicken Rolls,chicken rolls,35
Roll especiales,Special Roll,82
Ke Banquetazo,ke banquetazo,100
Chaumín,Chaumin,80
Envuelto en Salmón,wrapped in salmon,100
Chirasi,chirasi,100
Envuelto en nori,wrapped in nori,100
Platos,dishes,100
Sándwiches Clásicos,Classic sandwiches,95
Pollo al Wok,Chicken wok,41
Rolls Paronel,rolls paronel,96
Para Acompañar & Picar,to accompany & itching,85
Comida japonesa,Japanese Food,100
Almuerzo martes,Lunch Tuesday,93
Combinación 20 piezas,Combination 20 pieces,93
Sándwich de milanesa,Milanese sandwich,100
Ofertas,Offers,100
Tempura y Panko Roll,tempura and panko roll,97
Especial Rolls,Special rolls,54
Tempuras,tempuras,100
Rolls para Niños,Rolls for Kids,97
Calzoni,trousers,62
Vegetariano Roll,vegetarian roll,68
Calzone,calzone,100
"Churrasco, lomo o hamburguesa",tenderloin steak or hamburger,60
Sub del día,Sub day,76
Hot Rolls Furai,Hot Rolls Furai,62
Pizza Especial,Special pizza,92
Chorrillana,chorrillana,100
Lil´ Jumpin´ Beans,Lil' Jumpin Beans,48
Piqueos Fríos,cold snacks,70
D. Cheese cream rolls,D. Cheese cream rolls,50
Sándwiches (tradicionales en Pan Frica),Sandwiches (traditional Pan Fricka),88
Mixtos,mixed,90
Sándwich Del Rincón,Sandwich Del Rincon,85
Roll Especiales,Special Roll,89
Hot Rolls Tempura y Furai,Hot Rolls Tempura and Furai,76
Combo + Complemento,Combo + Complement,100
Envuelto en Salmón y Palta,wrapped in salmon and avocado,84
Hot Rollls,hot rollls,46
Kebab,kebab,30
Rolls envueltos en Nori,rolls wrapped in nori,97
Piqueos (tipo coctel),piqueos (cocktail type),93
Papas gourmet,gourmet potatoes,100
Jugos Individuales 300cc,individual juices 300cc,100
Pizze fuzion,pizze fuzion,41
Especialidad de la casa,specialty of the house,100
Rolls en panko y en tempura,Rolls in panko and tempura,94
C. California rolls,C. California rolls,66
Sándwiches fríos Tulu´s,Cold sandwiches Tulu's,58
Mezze,mezze,100
Montreal Bagel,Montreal Bagel,100
Platos vegetarianos,vegetarian dishes,100
Hamburguesas de La Granja,burgers farm,86
Sanguches,Sandwiches,73
Especialidad en pescados,specialty fish,94
Pizzas especialidades,Pizzas specialties,100
Empanadas,breaded,73
Especial,special,100
Tragos y Cerveza,drinks and beer,72
Envueltos,wrapped,94
Futomaki - 20% off,futomaki - 20% off,71
Borde relleno con queso,edge stuffed with cheese,88
Fusión Gourmet,gourmet fusion,100
Razz nori,razz nori,100
Cocktelería,cocktelería,100
Antojitos,Antojitos,100
Arrebatos hambriento y apurado,Hungry and in a hurry outbursts,48
Promos - Promoción,promos - promotion,100
Rolls Hosomaki,rolls hosomaki,96
Classic rolls envueltos en salmón,classic rolls wrapped in salmon,90
Appetizer frío,cold appetizer,73
Para Picotear,To Pecking,92
Platos tailandeses,Thai dishes,94
California Rolls y Zona Light,California Rolls and Area Light,51
Galletas Dulces,Sweet biscuits,93
Pollo / Conejo,chicken / rabbit,100
Promo menú I Dan,Promo menu I Dan,64
Per Bere,for drinking,100
Combinados,combined,44
Ingredientes Adicionales,Additional ingredients,92
Hosomaki Tempura en Panko,hosomaki tempura panko,93
Quesadillas,quesadillas,100
Philadelphia rolls,philadelphia rolls,64
Helados artesanales,ice creams,53
Ensalada Premium,premium salad,100
"Hosomaki, Niguiri, Temaki",hosomaki niguiri temaki,100
Rolls Inside,Rolls Inside,59
Platos fuertes de cocina,strong dishes,73
Platos familiares,familiar dishes,100
Wrap,Wrap,100
Rolls Tempura Fritos,fried tempura rolls,59
Promociones Pollo,Pollo Promotions,100
Piqueos calientes,hot appetizers,75
Rolls envuelto en Palta,rolls wrapped in avocado,78
Otros Platos,other dishes,100
Mix,mix,20
Almuerzos y colaciones,lunches and snacks,65
Los más pedidos,Most orders,61
